device, pi
F0-25-72-7D-6F-64 = -43
F0-25-72-7D-6F-66 = -43
F0-25-72-7D-71-00 = -63
F0-25-72-7D-71-02 = -61
F0-25-72-7D-71-04 = -61
F0-25-72-7D-71-06 = -63
F0-25-72-7D-71-42 = -55
F0-25-72-7D-71-44 = -55
F0-25-72-7D-71-46 = -55
F0-25-72-7D-8B-32 = -71
F0-25-72-7D-8B-34 = -67
F0-25-72-7D-EB-84 = -73
---------------------
56-5A-04-2F-2C-A1 = -59
6C-B0-CE-ED-2B-BB = -73
F0-25-72-70-9E-70 = -53
F0-25-72-70-9E-72 = -53
F0-25-72-70-9E-74 = -53
F0-25-72-70-9E-76 = -51
F0-25-72-70-C3-50 = -75
F0-25-72-70-C3-52 = -75
F0-25-72-70-C3-54 = -73
F0-25-72-70-C3-56 = -69
F0-25-72-7D-6F-60 = -39
F0-25-72-7D-6F-62 = -41
F0-25-72-7D-6F-64 = -41
F0-25-72-7D-6F-66 = -41
F0-25-72-7D-71-00 = -67
F0-25-72-7D-71-02 = -67
F0-25-72-7D-71-04 = -67
F0-25-72-7D-71-06 = -69
F0-25-72-7D-71-42 = -61
F0-25-72-7D-71-44 = -55
F0-25-72-7D-71-46 = -55
F0-25-72-7D-EA-46 = -71
F0-25-72-7D-EB-86 = -73
---------------------
56-5A-04-2F-2C-A1 = -57
6C-B0-CE-ED-2B-BB = -73
F0-25-72-70-9E-70 = -51
F0-25-72-70-9E-72 = -53
F0-25-72-70-9E-74 = -51
F0-25-72-70-9E-76 = -51
F0-25-72-70-A5-66 = -73
F0-25-72-70-C3-50 = -75
F0-25-72-70-C3-52 = -75
F0-25-72-70-C3-54 = -73
F0-25-72-70-C3-56 = -69
F0-25-72-7D-56-B4 = -73
F0-25-72-7D-6F-60 = -45
F0-25-72-7D-6F-62 = -45
F0-25-72-7D-6F-64 = -45
F0-25-72-7D-6F-66 = -45
F0-25-72-7D-71-00 = -67
F0-25-72-7D-71-02 = -67
F0-25-72-7D-71-04 = -67
F0-25-72-7D-71-06 = -65
F0-25-72-7D-71-40 = -63
F0-25-72-7D-71-42 = -63
F0-25-72-7D-71-44 = -63
F0-25-72-7D-71-46 = -65
F0-25-72-7D-8B-30 = -65
F0-25-72-7D-8B-32 = -65
F0-25-72-7D-8B-34 = -63
F0-25-72-7D-EA-46 = -71
F0-25-72-7D-EB-80 = -73
F0-25-72-7D-EB-84 = -73
