start,-12,44
f0:25:72:7d:fc:52,eduroam,-67,72,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:70:bd:40,PAL3.0,-61,85,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:75:29,attwifi,-74,57,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:75:2d,eduroam,-73,59,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:0d:b0,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:fc:50,PAL3.0,-66,74,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:70:a6,attwifi,-76,52,  TILE 0, ACC (xy) -0.30670166,-0.051345825
20:aa:4b:04:7c:41,me-cart2,-89,24,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:70:a9,attwifi,-77,50,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:70:bd:42,eduroam,-60,88,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:70:af,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.30670166,-0.051345825
c4:04:15:22:df:c4,NETGEAR94,-82,39,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:75:24,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:12:0b:f4,Purdue Guest Network,-81,41,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:79:0b,Purdue Guest Network,-86,30,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:70:4b:54,Purdue Guest Network,-84,35,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:ab:c2,eduroam,-74,57,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:ab:c6,attwifi,-72,61,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:70:a4,Purdue Guest Network,-80,44,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:75:26,attwifi,-81,41,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:ab:c0,PAL3.0,-74,57,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:75:20,PAL3.0,-78,48,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:7d:70:a0,PAL3.0,-83,37,  TILE 0, ACC (xy) -0.30670166,-0.051345825
f0:25:72:12:0b:f2,eduroam,-83,37,  TILE 0, ACC (xy) -0.30670166,-0.051345825
00:1e:52:7b:04:c9,GHG-NET,-90,22,  TILE 0, ACC (xy) -0.30670166,-0.051345825

=====E|100
90:84:0d:da:8d:d7,R57Station,-77,50,  TILE 0, ACC (xy) -0.23291016,0.50090027
f0:25:72:7d:fc:5d,eduroam,-68,70,  TILE 0, ACC (xy) -0.23291016,0.50090027
f0:25:72:7d:fc:54,Purdue Guest Network,-73,59,  TILE 0, ACC (xy) -0.23291016,0.50090027
f0:25:72:7d:fc:5f,PAL3.0,-68,70,  TILE 0, ACC (xy) -0.23291016,0.50090027
f0:25:72:7d:fc:5b,Purdue Guest Network,-68,70,  TILE 0, ACC (xy) -0.23291016,0.50090027
f0:25:72:7d:fc:59,attwifi,-68,70,  TILE 0, ACC (xy) -0.23291016,0.50090027
