f0:25:72:7d:8b:34,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:46,attwifi,-76,52,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:8b:3b,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:04,Purdue Guest Network,-73,59,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:06,attwifi,-81,41,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:00,PAL3.0,-73,59,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:71:40,PAL3.0,-77,50,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:8b:32,eduroam,-80,44,  TILE 0, ACC (xy) 0.4883423,1.6768036
00:22:75:43:1e:48,Belkin_N+_431E48,-88,26,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:8b:30,PAL3.0,-80,44,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:70:c3:52,eduroam,-83,37,  TILE 0, ACC (xy) 0.4883423,1.6768036
f0:25:72:7d:8b:36,attwifi,-79,46,  TILE 0, ACC (xy) 0.4883423,1.6768036

=====N|100
f0:25:72:7d:6f:6f,PAL3.0,-56,96,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:6f:6d,eduroam,-55,99,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:70:9e:7f,PAL3.0,-69,68,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:70:9e:7d,eduroam,-69,68,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:4d,eduroam,-71,63,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:4f,PAL3.0,-71,63,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:0f,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:70:9e:72,eduroam,-68,70,  TILE 0, ACC (xy) -0.34716797,1.5458832
ec:88:8f:fa:76:ca,HeHeHe,-67,72,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:6f:6b,Purdue Guest Network,-55,99,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:6f:69,attwifi,-55,99,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:6f:64,Purdue Guest Network,-57,94,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:6f:66,attwifi,-63,81,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:70:9e:7b,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:70:9e:79,attwifi,-69,68,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:4b,Purdue Guest Network,-71,63,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:49,attwifi,-71,63,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:0b,Purdue Guest Network,-75,55,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:70:9e:74,Purdue Guest Network,-72,61,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:70:9e:76,attwifi,-72,61,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:44,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:70:c3:54,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:70:c3:56,attwifi,-83,37,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:0d,eduroam,-75,55,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:09,attwifi,-75,55,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:8b:34,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:8b:3b,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:04,Purdue Guest Network,-72,61,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:00,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:71:40,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:8b:32,eduroam,-80,44,  TILE 0, ACC (xy) -0.34716797,1.5458832
00:22:75:43:1e:48,Belkin_N+_431E48,-88,26,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:8b:30,PAL3.0,-84,35,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:70:c3:52,eduroam,-85,33,  TILE 0, ACC (xy) -0.34716797,1.5458832
f0:25:72:7d:8b:36,attwifi,-79,46,  TILE 0, ACC (xy) -0.34716797,1.5458832

--------------------
f0:25:72:7d:6f:6f,PAL3.0,-59,90,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:6f:6d,eduroam,-59,90,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:70:9e:7f,PAL3.0,-65,77,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:70:9e:7d,eduroam,-66,74,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:71:4d,eduroam,-75,55,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:71:4f,PAL3.0,-74,57,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:71:0f,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.33050537,1.050766
ec:88:8f:fa:76:ca,HeHeHe,-66,74,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:6f:6b,Purdue Guest Network,-59,90,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:6f:69,attwifi,-59,90,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:6f:64,Purdue Guest Network,-57,94,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:70:9e:7b,Purdue Guest Network,-65,77,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:70:9e:79,attwifi,-65,77,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:71:4b,Purdue Guest Network,-75,55,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:71:49,attwifi,-74,57,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:71:0b,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:70:9e:74,Purdue Guest Network,-71,63,  TILE 0, ACC (xy) -0.33050537,1.050766
