---------------------
========== [FLAGGED] =============
F0-25-72-7D-56-B4 = -67
F0-25-72-7D-56-B6 = -65
F0-25-72-7D-6F-60 = -55
F0-25-72-7D-6F-62 = -59
F0-25-72-7D-6F-64 = -59
F0-25-72-7D-6F-66 = -61
F0-25-72-7D-71-02 = -77
F0-25-72-7D-71-06 = -75
F0-25-72-7D-88-70 = -53
F0-25-72-7D-88-72 = -53
F0-25-72-7D-88-74 = -55
F0-25-72-7D-88-76 = -55
F0-25-72-7D-89-42 = -77
F0-25-72-7D-89-44 = -79
F0-25-72-7D-8A-C2 = -67
F0-25-72-7D-8B-30 = -51
F0-25-72-7D-8B-34 = -55
F0-25-72-7D-8B-36 = -55
F0-25-72-7D-EB-80 = -67
F0-25-72-7D-EB-82 = -73
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-EB-86 = -65
---------------------
00-22-75-43-1F-68 = -69
6C-B0-CE-ED-2B-BB = -49
F0-25-72-70-A5-60 = -73
F0-25-72-70-A5-64 = -73
F0-25-72-70-A5-66 = -73
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-72 = -67
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -65
F0-25-72-7D-19-F0 = -63
F0-25-72-7D-19-F2 = -61
F0-25-72-7D-19-F4 = -61
F0-25-72-7D-19-F6 = -63
F0-25-72-7D-56-B0 = -67
F0-25-72-7D-56-B4 = -67
F0-25-72-7D-56-B6 = -67
F0-25-72-7D-6F-60 = -55
F0-25-72-7D-71-02 = -77
F0-25-72-7D-71-06 = -75
F0-25-72-7D-88-70 = -49
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -67
F0-25-72-7D-88-76 = -49
F0-25-72-7D-8A-C0 = -65
F0-25-72-7D-8A-C2 = -65
F0-25-72-7D-8A-C6 = -65
F0-25-72-7D-8B-34 = -53
F0-25-72-7D-EA-40 = -61
F0-25-72-7D-EA-42 = -61
F0-25-72-7D-EA-44 = -61
F0-25-72-7D-EA-46 = -61
F0-25-72-7D-EB-86 = -69
---------------------
00-22-75-43-1F-68 = -69
02-11-87-A5-5A-72 = -65
56-5A-04-2F-2C-A1 = -65
6C-B0-CE-ED-2B-BB = -49
B4-18-D1-E0-33-DE = -67
F0-25-72-70-B6-70 = -71
F0-25-72-70-B6-72 = -69
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -69
F0-25-72-7D-19-F0 = -63
F0-25-72-7D-19-F2 = -61
F0-25-72-7D-19-F4 = -61
F0-25-72-7D-19-F6 = -63
F0-25-72-7D-56-B0 = -75
F0-25-72-7D-56-B2 = -75
F0-25-72-7D-56-B6 = -75
F0-25-72-7D-6F-60 = -53
F0-25-72-7D-6F-64 = -51
F0-25-72-7D-71-04 = -77
F0-25-72-7D-88-70 = -55
F0-25-72-7D-88-72 = -53
F0-25-72-7D-88-74 = -53
F0-25-72-7D-88-76 = -53
F0-25-72-7D-8A-C2 = -65
F0-25-72-7D-8A-C6 = -65
F0-25-72-7D-8B-30 = -53
F0-25-72-7D-8B-32 = -53
F0-25-72-7D-8B-34 = -51
F0-25-72-7D-EA-40 = -61
F0-25-72-7D-EA-42 = -61
F0-25-72-7D-EA-44 = -61
F0-25-72-7D-EA-46 = -61
F0-25-72-7D-EB-86 = -69
---------------------
00-25-9C-52-91-1D = -73
02-11-87-A5-5A-72 = -67
56-5A-04-2F-2C-A1 = -67
6C-B0-CE-ED-2B-BB = -45
B4-18-D1-E0-33-DE = -71
F0-25-72-70-A5-60 = -63
F0-25-72-70-A5-64 = -63
F0-25-72-70-B6-70 = -71
F0-25-72-70-B6-72 = -67
F0-25-72-70-B6-76 = -69
F0-25-72-7D-19-F0 = -49
F0-25-72-7D-19-F2 = -49
F0-25-72-7D-19-F4 = -49
F0-25-72-7D-19-F6 = -47
F0-25-72-7D-4F-34 = -67
F0-25-72-7D-56-B0 = -75
F0-25-72-7D-56-B2 = -75
F0-25-72-7D-56-B6 = -75
F0-25-72-7D-6F-62 = -69
F0-25-72-7D-71-04 = -77
F0-25-72-7D-80-D4 = -75
F0-25-72-7D-88-70 = -49
F0-25-72-7D-88-72 = -47
F0-25-72-7D-88-74 = -49
F0-25-72-7D-88-76 = -49
F0-25-72-7D-8A-C0 = -61
F0-25-72-7D-8A-C2 = -61
